rank,materia,N,reprobados,tasa_reprobacion,promedio_aprobados,repitencia_media,indice,modelable
1,MATEMATICAS II,52,23,0.4423,3.355,1.25,0.8242,True
2,FISICA I,53,14,0.2642,3.318,1.604,0.7181,True
3,ALGEBRA LINEAL,72,21,0.2917,3.61,1.403,0.6618,True
4,MATEMATICAS I,73,19,0.2603,3.961,1.027,0.4254,True
5,FUNDAMENTOS DE PROGRAMACION,72,15,0.2083,3.735,1.153,0.4057,True
6,FISICA II,37,3,0.0811,3.459,1.459,0.3563,False
7,PROGRAMACION,48,7,0.1458,3.644,1.208,0.3341,False
8,MATEMATICAS ESPECIALES,32,2,0.0625,3.567,1.344,0.2698,False
9,PENSAMIENTO LOGICO MATEMATICO,73,11,0.1507,3.647,1.041,0.2589,True
10,MATEMATICAS III,38,3,0.0789,3.517,1.237,0.2426,False
11,BASES DE DATOS,34,1,0.0294,3.445,1.382,0.2363,False
12,ELECTRÓNICA BÁSICA,42,5,0.119,3.838,1.071,0.2236,False
13,INTRODUCCION A LA INGENIERIA DE SISTEMAS,73,10,0.137,3.9,1.0,0.2168,True
14,PROCESOS COMUNICATIVOS,74,9,0.1216,3.685,1.0,0.1924,False
15,ECUACIONES DIFERENCIALES Y EN DIFERENCIA,38,3,0.0789,3.56,1.105,0.177,False
16,METODOS NUMERICOS,35,1,0.0286,3.412,1.257,0.1729,False
17,ANALISIS DE SEÑALES,33,2,0.0606,3.948,1.152,0.1714,False
18,MATEMATICA DISCRETA,51,4,0.0784,3.264,1.059,0.1534,False
19,FUNDAMENTOS DE INGENIERIA DE SOFTWARE,34,2,0.0588,3.709,1.118,0.1517,False
20,ARQUITECTURA DE COMPUTADORES,36,1,0.0278,3.611,1.167,0.1269,False
21,ESTRUCTURAS DE DATOS,45,2,0.0444,3.686,1.067,0.1035,False
22,TEORIA GENERAL DE SISTEMAS,37,2,0.0541,3.814,1.0,0.0856,False
23,INGENIERIA DE SOFTWARE,33,1,0.0303,3.844,1.061,0.0783,False
24,PROBABILIDAD Y ESTADISTICA,34,1,0.0294,3.403,1.059,0.0758,False
25,ECONOMIA,33,1,0.0303,3.822,1.03,0.0629,False
26,SISTEMAS OPERATIVOS,37,1,0.027,3.853,1.027,0.0561,False
27,"CIENCIA, TECNOLOGIA Y DESARROLLO",35,1,0.0286,3.806,1.0,0.0453,False
28,CATEDRA ORINOQUIA,55,1,0.0182,3.833,1.018,0.0377,False
29,SISTEMAS DE COMUNICACION,32,0,0.0,3.953,1.062,0.0308,False
30,CURSO DE PROFUNDIZACION I,32,0,0.0,4.088,1.062,0.0308,False
31,ALGORITMIA AVANZADA,32,0,0.0,3.912,1.031,0.0154,False
32,PROCESOS ESTOCASTICOS,32,0,0.0,3.741,1.031,0.0154,False
33,ELECTIVA PROFESIONAL V,32,0,0.0,4.2,1.031,0.0154,False
34,ELECTIVA PROFESIONAL I,34,0,0.0,4.309,1.029,0.0144,False
35,CONTROL ANALOGO,32,0,0.0,4.416,1.0,0.0,False
36,CÁTEDRA DEMOCRACIA Y PAZ,35,0,0.0,4.317,1.0,0.0,False
37,ELECTIVA PROFESIONAL IV,32,0,0.0,4.116,1.0,0.0,False
38,ELECTIVA PROFESIONAL III,32,0,0.0,4.088,1.0,0.0,False
39,ELECTIVA PROFESIONAL II,32,0,0.0,4.453,1.0,0.0,False
40,ELECTIVA COMPLEMENTARIA II,32,0,0.0,4.444,1.0,0.0,False
41,ELECTIVA COMPLEMENTARIA I,31,0,0.0,4.355,1.0,0.0,False
42,CURSO DE PROFUNDIZACION II,32,0,0.0,3.862,1.0,0.0,False
43,CURSO DE PROFUNDIZACION III,32,0,0.0,4.031,1.0,0.0,False
44,FISICA III,31,0,0.0,4.103,1.0,0.0,False
45,GESTION DE PROYECTOS Y EMPRESARIAL,32,0,0.0,4.131,1.0,0.0,False
46,OPTIMIZACION,32,0,0.0,4.131,1.0,0.0,False
47,MODELAMIENTO DE SISTEMAS,34,0,0.0,4.318,1.0,0.0,False
48,REDES DE COMPUTADORES,36,0,0.0,3.944,1.0,0.0,False
49,SIMULACION COMPUTACIONAL,32,0,0.0,3.859,1.0,0.0,False
50,SEMINARIO DE INVESTIGACION,32,0,0.0,3.994,1.0,0.0,False
51,SISTEMAS DISTRIBUIDOS,37,0,0.0,4.565,1.0,0.0,False
52,SISTEMAS Y ORGANIZACIONES,32,0,0.0,4.366,1.0,0.0,False
